source,utterance,data_type,session_id,person_id,train_type
77.jpg,201,rgb,28,107,valid
50.jpg,244,rgb,28,107,valid
77.jpg,86,rgb,28,107,valid
77.jpg,67,rgb,28,107,valid
77.jpg,246,rgb,28,107,valid
77.jpg,40,rgb,28,107,valid
154.wav,154,wav,17,107,valid
165.wav,165,wav,17,107,valid
167.wav,167,wav,17,107,valid
90.wav,90,wav,17,107,valid
34.wav,34,wav,17,107,valid
33.wav,33,wav,17,107,valid
77.jpg,167,thr,17,107,valid
77.jpg,154,thr,17,107,valid
77.jpg,33,thr,17,107,valid
77.jpg,165,thr,17,107,valid
77.jpg,90,thr,17,107,valid
77.jpg,34,thr,17,107,valid
77.jpg,167,rgb,17,107,valid
77.jpg,154,rgb,17,107,valid
77.jpg,33,rgb,17,107,valid
77.jpg,165,rgb,17,107,valid
77.jpg,90,rgb,17,107,valid
77.jpg,34,rgb,17,107,valid
135.wav,135,wav,11,107,valid
3.wav,3,wav,11,107,valid
211.wav,211,wav,11,107,valid
77.jpg,3,thr,11,107,valid
77.jpg,211,thr,11,107,valid
77.jpg,135,thr,11,107,valid
77.jpg,3,rgb,11,107,valid
77.jpg,211,rgb,11,107,valid
77.jpg,135,rgb,11,107,valid
127.wav,127,wav,29,107,valid
108.wav,108,wav,29,107,valid
157.wav,157,wav,29,107,valid
177.wav,177,wav,29,107,valid
223.wav,223,wav,29,107,valid
77.jpg,177,thr,29,107,valid
77.jpg,157,thr,29,107,valid
77.jpg,108,thr,29,107,valid
77.jpg,127,thr,29,107,valid
77.jpg,223,thr,29,107,valid
77.jpg,177,rgb,29,107,valid
77.jpg,157,rgb,29,107,valid
77.jpg,108,rgb,29,107,valid
77.jpg,127,rgb,29,107,valid
77.jpg,223,rgb,29,107,valid
168.wav,168,wav,25,107,valid
171.wav,171,wav,25,107,valid
240.wav,240,wav,25,107,valid
36.wav,36,wav,25,107,valid
198.wav,198,wav,25,107,valid
226.wav,226,wav,25,107,valid
77.jpg,198,thr,25,107,valid
77.jpg,171,thr,25,107,valid
77.jpg,226,thr,25,107,valid
77.jpg,168,thr,25,107,valid
77.jpg,240,thr,25,107,valid
77.jpg,36,thr,25,107,valid
77.jpg,198,rgb,25,107,valid
77.jpg,171,rgb,25,107,valid
77.jpg,226,rgb,25,107,valid
77.jpg,168,rgb,25,107,valid
77.jpg,240,rgb,25,107,valid
77.jpg,36,rgb,25,107,valid
138.wav,138,wav,15,107,valid
65.wav,65,wav,15,107,valid
99.wav,99,wav,15,107,valid
15.wav,15,wav,15,107,valid
77.jpg,99,thr,15,107,valid
77.jpg,138,thr,15,107,valid
77.jpg,15,thr,15,107,valid
77.jpg,65,thr,15,107,valid
77.jpg,99,rgb,15,107,valid
77.jpg,138,rgb,15,107,valid
77.jpg,15,rgb,15,107,valid
77.jpg,65,rgb,15,107,valid
174.wav,174,wav,27,107,valid
10.wav,10,wav,27,107,valid
104.wav,104,wav,27,107,valid
215.wav,215,wav,27,107,valid
191.wav,191,wav,27,107,valid
77.jpg,104,thr,27,107,valid
72.jpg,215,thr,27,107,valid
77.jpg,191,thr,27,107,valid
77.jpg,10,thr,27,107,valid
77.jpg,174,thr,27,107,valid
77.jpg,104,rgb,27,107,valid
72.jpg,215,rgb,27,107,valid
77.jpg,191,rgb,27,107,valid
77.jpg,10,rgb,27,107,valid
77.jpg,174,rgb,27,107,valid
230.wav,230,wav,13,107,valid
35.wav,35,wav,13,107,valid
96.wav,96,wav,13,107,valid
150.wav,150,wav,13,107,valid
214.wav,214,wav,13,107,valid
216.wav,216,wav,13,107,valid
77.jpg,35,thr,13,107,valid
77.jpg,150,thr,13,107,valid
77.jpg,96,thr,13,107,valid
77.jpg,214,thr,13,107,valid
77.jpg,230,thr,13,107,valid
77.jpg,216,thr,13,107,valid
77.jpg,35,rgb,13,107,valid
77.jpg,150,rgb,13,107,valid
77.jpg,96,rgb,13,107,valid
77.jpg,214,rgb,13,107,valid
77.jpg,230,rgb,13,107,valid
77.jpg,216,rgb,13,107,valid
115.wav,115,wav,14,107,valid
30.wav,30,wav,14,107,valid
53.wav,53,wav,14,107,valid
161.wav,161,wav,14,107,valid
239.wav,239,wav,14,107,valid
50.wav,50,wav,14,107,valid
77.jpg,239,thr,14,107,valid
77.jpg,161,thr,14,107,valid
77.jpg,115,thr,14,107,valid
77.jpg,53,thr,14,107,valid
77.jpg,30,thr,14,107,valid
77.jpg,50,thr,14,107,valid
77.jpg,239,rgb,14,107,valid
77.jpg,161,rgb,14,107,valid
77.jpg,115,rgb,14,107,valid
77.jpg,53,rgb,14,107,valid
77.jpg,30,rgb,14,107,valid
77.jpg,50,rgb,14,107,valid
189.wav,189,wav,12,107,valid
133.wav,133,wav,12,107,valid
234.wav,234,wav,12,107,valid
153.wav,153,wav,12,107,valid
219.wav,219,wav,12,107,valid
77.jpg,219,thr,12,107,valid
77.jpg,234,thr,12,107,valid
77.jpg,153,thr,12,107,valid
77.jpg,133,thr,12,107,valid
77.jpg,189,thr,12,107,valid
77.jpg,219,rgb,12,107,valid
77.jpg,234,rgb,12,107,valid
77.jpg,153,rgb,12,107,valid
77.jpg,133,rgb,12,107,valid
77.jpg,189,rgb,12,107,valid
59.wav,59,wav,16,107,valid
80.wav,80,wav,16,107,valid
32.wav,32,wav,16,107,valid
55.wav,55,wav,16,107,valid
77.jpg,59,thr,16,107,valid
77.jpg,80,thr,16,107,valid
77.jpg,32,thr,16,107,valid
77.jpg,55,thr,16,107,valid
77.jpg,59,rgb,16,107,valid
77.jpg,80,rgb,16,107,valid
77.jpg,32,rgb,16,107,valid
77.jpg,55,rgb,16,107,valid
103.wav,103,wav,18,126,test
108.wav,108,wav,18,126,test
8.wav,8,wav,18,126,test
123.wav,123,wav,18,126,test
58.wav,58,wav,18,126,test
73.wav,73,wav,18,126,test
77.jpg,123,thr,18,126,test
77.jpg,58,thr,18,126,test
77.jpg,108,thr,18,126,test
77.jpg,103,thr,18,126,test
77.jpg,8,thr,18,126,test
77.jpg,73,thr,18,126,test
77.jpg,123,rgb,18,126,test
77.jpg,58,rgb,18,126,test
77.jpg,108,rgb,18,126,test
77.jpg,103,rgb,18,126,test
77.jpg,8,rgb,18,126,test
77.jpg,73,rgb,18,126,test
235.wav,235,wav,24,126,test
171.wav,171,wav,24,126,test
146.wav,146,wav,24,126,test
71.wav,71,wav,24,126,test
16.wav,16,wav,24,126,test
77.jpg,171,thr,24,126,test
77.jpg,71,thr,24,126,test
77.jpg,146,thr,24,126,test
77.jpg,235,thr,24,126,test
77.jpg,16,thr,24,126,test
77.jpg,171,rgb,24,126,test
77.jpg,71,rgb,24,126,test
77.jpg,146,rgb,24,126,test
77.jpg,235,rgb,24,126,test
77.jpg,16,rgb,24,126,test
17.wav,17,wav,19,126,test
250.wav,250,wav,19,126,test
38.wav,38,wav,19,126,test
50.wav,50,wav,19,126,test
232.wav,232,wav,19,126,test
77.jpg,38,thr,19,126,test
77.jpg,250,thr,19,126,test
77.jpg,17,thr,19,126,test
77.jpg,232,thr,19,126,test
77.jpg,50,thr,19,126,test
77.jpg,38,rgb,19,126,test
77.jpg,250,rgb,19,126,test
77.jpg,17,rgb,19,126,test
77.jpg,232,rgb,19,126,test
77.jpg,50,rgb,19,126,test
176.wav,176,wav,21,126,test
194.wav,194,wav,21,126,test
169.wav,169,wav,21,126,test
193.wav,193,wav,21,126,test
7.wav,7,wav,21,126,test
77.jpg,194,thr,21,126,test
77.jpg,169,thr,21,126,test
77.jpg,7,thr,21,126,test
77.jpg,193,thr,21,126,test
77.jpg,176,thr,21,126,test
77.jpg,194,rgb,21,126,test
77.jpg,169,rgb,21,126,test
77.jpg,7,rgb,21,126,test
77.jpg,193,rgb,21,126,test
77.jpg,176,rgb,21,126,test
147.wav,147,wav,23,126,test
138.wav,138,wav,23,126,test
156.wav,156,wav,23,126,test
130.wav,130,wav,23,126,test
76.wav,76,wav,23,126,test
184.wav,184,wav,23,126,test
77.jpg,147,thr,23,126,test
77.jpg,184,thr,23,126,test
77.jpg,130,thr,23,126,test
77.jpg,76,thr,23,126,test
77.jpg,138,thr,23,126,test
77.jpg,156,thr,23,126,test
77.jpg,147,rgb,23,126,test
77.jpg,184,rgb,23,126,test
77.jpg,130,rgb,23,126,test
77.jpg,76,rgb,23,126,test
77.jpg,138,rgb,23,126,test
77.jpg,156,rgb,23,126,test
175.wav,175,wav,22,126,test
122.wav,122,wav,22,126,test
230.wav,230,wav,22,126,test
84.wav,84,wav,22,126,test
83.wav,83,wav,22,126,test
79.wav,79,wav,22,126,test
102.wav,102,wav,22,126,test
77.jpg,84,thr,22,126,test
77.jpg,102,thr,22,126,test
77.jpg,122,thr,22,126,test
77.jpg,83,thr,22,126,test
77.jpg,175,thr,22,126,test
77.jpg,230,thr,22,126,test
77.jpg,79,thr,22,126,test
77.jpg,84,rgb,22,126,test
77.jpg,102,rgb,22,126,test
77.jpg,122,rgb,22,126,test
77.jpg,83,rgb,22,126,test
77.jpg,175,rgb,22,126,test
77.jpg,230,rgb,22,126,test
77.jpg,79,rgb,22,126,test
165.wav,165,wav,28,126,test
124.wav,124,wav,28,126,test
199.wav,199,wav,28,126,test
37.wav,37,wav,28,126,test
77.jpg,124,thr,28,126,test
77.jpg,199,thr,28,126,test
77.jpg,37,thr,28,126,test
77.jpg,165,thr,28,126,test
77.jpg,124,rgb,28,126,test
77.jpg,199,rgb,28,126,test
77.jpg,37,rgb,28,126,test
77.jpg,165,rgb,28,126,test
105.wav,105,wav,26,126,test
231.wav,231,wav,26,126,test
36.wav,36,wav,26,126,test
90.wav,90,wav,26,126,test
77.jpg,231,thr,26,126,test
77.jpg,105,thr,26,126,test
77.jpg,90,thr,26,126,test
77.jpg,36,thr,26,126,test
77.jpg,231,rgb,26,126,test
77.jpg,105,rgb,26,126,test
77.jpg,90,rgb,26,126,test
77.jpg,36,rgb,26,126,test
20.wav,20,wav,17,126,test
240.wav,240,wav,17,126,test
178.wav,178,wav,17,126,test
54.wav,54,wav,17,126,test
77.jpg,178,thr,17,126,test
77.jpg,54,thr,17,126,test
77.jpg,240,thr,17,126,test
77.jpg,20,thr,17,126,test
77.jpg,178,rgb,17,126,test
77.jpg,54,rgb,17,126,test
77.jpg,240,rgb,17,126,test
77.jpg,20,rgb,17,126,test
236.wav,236,wav,11,126,test
158.wav,158,wav,11,126,test
207.wav,207,wav,11,126,test
203.wav,203,wav,11,126,test
39.wav,39,wav,11,126,test
55.wav,55,wav,11,126,test
77.jpg,158,thr,11,126,test
77.jpg,39,thr,11,126,test
77.jpg,207,thr,11,126,test
77.jpg,203,thr,11,126,test
77.jpg,236,thr,11,126,test
77.jpg,55,thr,11,126,test
77.jpg,158,rgb,11,126,test
77.jpg,39,rgb,11,126,test
77.jpg,207,rgb,11,126,test
77.jpg,203,rgb,11,126,test
77.jpg,236,rgb,11,126,test
77.jpg,55,rgb,11,126,test
106.wav,106,wav,29,126,test
32.wav,32,wav,29,126,test
46.wav,46,wav,29,126,test
50.wav,50,wav,29,126,test
77.jpg,32,thr,29,126,test
77.jpg,106,thr,29,126,test
77.jpg,46,thr,29,126,test
77.jpg,50,thr,29,126,test
77.jpg,32,rgb,29,126,test
77.jpg,106,rgb,29,126,test
77.jpg,46,rgb,29,126,test
77.jpg,50,rgb,29,126,test
237.wav,237,wav,25,126,test
238.wav,238,wav,25,126,test
28.wav,28,wav,25,126,test
149.wav,149,wav,25,126,test
109.wav,109,wav,25,126,test
77.jpg,149,thr,25,126,test
77.jpg,109,thr,25,126,test
77.jpg,237,thr,25,126,test
77.jpg,28,thr,25,126,test
77.jpg,238,thr,25,126,test
77.jpg,149,rgb,25,126,test
77.jpg,109,rgb,25,126,test
77.jpg,237,rgb,25,126,test
77.jpg,28,rgb,25,126,test
77.jpg,238,rgb,25,126,test
166.wav,166,wav,15,126,test
53.wav,53,wav,15,126,test
32.wav,32,wav,15,126,test
77.wav,77,wav,15,126,test
26.wav,26,wav,15,126,test
248.wav,248,wav,15,126,test
77.jpg,77,thr,15,126,test
77.jpg,248,thr,15,126,test
77.jpg,32,thr,15,126,test
77.jpg,53,thr,15,126,test
77.jpg,26,thr,15,126,test
77.jpg,166,thr,15,126,test
77.jpg,77,rgb,15,126,test
77.jpg,248,rgb,15,126,test
77.jpg,32,rgb,15,126,test
77.jpg,53,rgb,15,126,test
77.jpg,26,rgb,15,126,test
77.jpg,166,rgb,15,126,test
92.wav,92,wav,27,126,test
20.wav,20,wav,27,126,test
183.wav,183,wav,27,126,test
132.wav,132,wav,27,126,test
79.wav,79,wav,27,126,test
77.jpg,92,thr,27,126,test
77.jpg,132,thr,27,126,test
77.jpg,79,thr,27,126,test
77.jpg,20,thr,27,126,test
77.jpg,183,thr,27,126,test
77.jpg,92,rgb,27,126,test
77.jpg,132,rgb,27,126,test
77.jpg,79,rgb,27,126,test
77.jpg,20,rgb,27,126,test
77.jpg,183,rgb,27,126,test
56.wav,56,wav,13,126,test
185.wav,185,wav,13,126,test
90.wav,90,wav,13,126,test
139.wav,139,wav,13,126,test
41.wav,41,wav,13,126,test
77.jpg,41,thr,13,126,test
77.jpg,56,thr,13,126,test
77.jpg,185,thr,13,126,test
77.jpg,139,thr,13,126,test
77.jpg,90,thr,13,126,test
77.jpg,41,rgb,13,126,test
77.jpg,56,rgb,13,126,test
77.jpg,185,rgb,13,126,test
77.jpg,139,rgb,13,126,test
77.jpg,90,rgb,13,126,test
167.wav,167,wav,14,126,test
131.wav,131,wav,14,126,test
34.wav,34,wav,14,126,test
204.wav,204,wav,14,126,test
77.jpg,204,thr,14,126,test
77.jpg,131,thr,14,126,test
77.jpg,167,thr,14,126,test
77.jpg,34,thr,14,126,test
77.jpg,204,rgb,14,126,test
77.jpg,131,rgb,14,126,test
77.jpg,167,rgb,14,126,test
77.jpg,34,rgb,14,126,test
135.wav,135,wav,12,126,test
200.wav,200,wav,12,126,test
110.wav,110,wav,12,126,test
241.wav,241,wav,12,126,test
71.wav,71,wav,12,126,test
77.jpg,241,thr,12,126,test
77.jpg,200,thr,12,126,test
77.jpg,71,thr,12,126,test
77.jpg,135,thr,12,126,test
77.jpg,110,thr,12,126,test
77.jpg,241,rgb,12,126,test
77.jpg,200,rgb,12,126,test
77.jpg,71,rgb,12,126,test
77.jpg,135,rgb,12,126,test
77.jpg,110,rgb,12,126,test
168.wav,168,wav,16,126,test
40.wav,40,wav,16,126,test
234.wav,234,wav,16,126,test
214.wav,214,wav,16,126,test
94.wav,94,wav,16,126,test
77.jpg,234,thr,16,126,test
77.jpg,168,thr,16,126,test
77.jpg,94,thr,16,126,test
77.jpg,214,thr,16,126,test
77.jpg,40,thr,16,126,test
77.jpg,234,rgb,16,126,test
77.jpg,168,rgb,16,126,test
77.jpg,94,rgb,16,126,test
77.jpg,214,rgb,16,126,test
77.jpg,40,rgb,16,126,test
719.wav,719,wav,18,61,train
737.wav,737,wav,18,61,train
376.wav,376,wav,18,61,train
208.wav,208,wav,18,61,train
655.wav,655,wav,18,61,train
1274.wav,1274,wav,18,61,train
77.jpg,1274,thr,18,61,train
77.jpg,208,thr,18,61,train
77.jpg,376,thr,18,61,train
72.jpg,719,thr,18,61,train
77.jpg,737,thr,18,61,train
77.jpg,655,thr,18,61,train
77.jpg,1274,rgb,18,61,train
77.jpg,208,rgb,18,61,train
77.jpg,376,rgb,18,61,train
72.jpg,719,rgb,18,61,train
77.jpg,737,rgb,18,61,train
77.jpg,655,rgb,18,61,train
919.wav,919,wav,24,61,train
954.wav,954,wav,24,61,train
893.wav,893,wav,24,61,train
698.wav,698,wav,24,61,train
1018.wav,1018,wav,24,61,train
1070.wav,1070,wav,24,61,train
50.jpg,1018,thr,24,61,train
77.jpg,1070,thr,24,61,train
77.jpg,698,thr,24,61,train
77.jpg,954,thr,24,61,train
77.jpg,893,thr,24,61,train
77.jpg,919,thr,24,61,train
50.jpg,1018,rgb,24,61,train
77.jpg,1070,rgb,24,61,train
77.jpg,698,rgb,24,61,train
77.jpg,954,rgb,24,61,train
77.jpg,893,rgb,24,61,train
77.jpg,919,rgb,24,61,train
758.wav,758,wav,19,61,train
132.wav,132,wav,19,61,train
852.wav,852,wav,19,61,train
1027.wav,1027,wav,19,61,train
685.wav,685,wav,19,61,train
77.jpg,852,thr,19,61,train
77.jpg,758,thr,19,61,train
77.jpg,685,thr,19,61,train
77.jpg,1027,thr,19,61,train
77.jpg,132,thr,19,61,train
77.jpg,852,rgb,19,61,train
77.jpg,758,rgb,19,61,train
77.jpg,685,rgb,19,61,train
77.jpg,1027,rgb,19,61,train
77.jpg,132,rgb,19,61,train
277.wav,277,wav,21,61,train
635.wav,635,wav,21,61,train
623.wav,623,wav,21,61,train
77.jpg,277,thr,21,61,train
77.jpg,635,thr,21,61,train
77.jpg,623,thr,21,61,train
77.jpg,277,rgb,21,61,train
77.jpg,635,rgb,21,61,train
77.jpg,623,rgb,21,61,train
991.wav,991,wav,23,61,train
1206.wav,1206,wav,23,61,train
560.wav,560,wav,23,61,train
1290.wav,1290,wav,23,61,train
505.wav,505,wav,23,61,train
77.jpg,560,thr,23,61,train
77.jpg,505,thr,23,61,train
77.jpg,1290,thr,23,61,train
77.jpg,991,thr,23,61,train
77.jpg,1206,thr,23,61,train
77.jpg,560,rgb,23,61,train
77.jpg,505,rgb,23,61,train
77.jpg,1290,rgb,23,61,train
77.jpg,991,rgb,23,61,train
77.jpg,1206,rgb,23,61,train
1039.wav,1039,wav,22,61,train
115.wav,115,wav,22,61,train
156.wav,156,wav,22,61,train
548.wav,548,wav,22,61,train
77.jpg,115,thr,22,61,train
72.jpg,1039,thr,22,61,train
77.jpg,156,thr,22,61,train
77.jpg,548,thr,22,61,train
77.jpg,115,rgb,22,61,train
72.jpg,1039,rgb,22,61,train
77.jpg,156,rgb,22,61,train
77.jpg,548,rgb,22,61,train
390.wav,390,wav,28,61,train
80.wav,80,wav,28,61,train
916.wav,916,wav,28,61,train
349.wav,349,wav,28,61,train
442.wav,442,wav,28,61,train
77.jpg,442,thr,28,61,train
77.jpg,80,thr,28,61,train
77.jpg,349,thr,28,61,train
77.jpg,916,thr,28,61,train
77.jpg,390,thr,28,61,train
77.jpg,442,rgb,28,61,train
77.jpg,80,rgb,28,61,train
77.jpg,349,rgb,28,61,train
77.jpg,916,rgb,28,61,train
77.jpg,390,rgb,28,61,train
783.wav,783,wav,26,61,train
166.wav,166,wav,26,61,train
355.wav,355,wav,26,61,train
375.wav,375,wav,26,61,train
335.wav,335,wav,26,61,train
77.jpg,335,thr,26,61,train
77.jpg,355,thr,26,61,train
77.jpg,783,thr,26,61,train
77.jpg,375,thr,26,61,train
72.jpg,166,thr,26,61,train
77.jpg,335,rgb,26,61,train
77.jpg,355,rgb,26,61,train
77.jpg,783,rgb,26,61,train
77.jpg,375,rgb,26,61,train
72.jpg,166,rgb,26,61,train
1186.wav,1186,wav,17,61,train
5.wav,5,wav,17,61,train
650.wav,650,wav,17,61,train
146.wav,146,wav,17,61,train
351.wav,351,wav,17,61,train
77.jpg,5,thr,17,61,train
77.jpg,146,thr,17,61,train
77.jpg,351,thr,17,61,train
77.jpg,650,thr,17,61,train
77.jpg,1186,thr,17,61,train
77.jpg,5,rgb,17,61,train
77.jpg,146,rgb,17,61,train
77.jpg,351,rgb,17,61,train
77.jpg,650,rgb,17,61,train
77.jpg,1186,rgb,17,61,train
718.wav,718,wav,11,61,train
451.wav,451,wav,11,61,train
1046.wav,1046,wav,11,61,train
1195.wav,1195,wav,11,61,train
77.jpg,1046,thr,11,61,train
77.jpg,451,thr,11,61,train
77.jpg,1195,thr,11,61,train
72.jpg,718,thr,11,61,train
77.jpg,1046,rgb,11,61,train
77.jpg,451,rgb,11,61,train
77.jpg,1195,rgb,11,61,train
72.jpg,718,rgb,11,61,train
242.wav,242,wav,29,61,train
1210.wav,1210,wav,29,61,train
2.wav,2,wav,29,61,train
424.wav,424,wav,29,61,train
77.jpg,424,thr,29,61,train
77.jpg,1210,thr,29,61,train
77.jpg,242,thr,29,61,train
77.jpg,2,thr,29,61,train
77.jpg,424,rgb,29,61,train
77.jpg,1210,rgb,29,61,train
77.jpg,242,rgb,29,61,train
77.jpg,2,rgb,29,61,train
168.wav,168,wav,25,61,train
188.wav,188,wav,25,61,train
1075.wav,1075,wav,25,61,train
959.wav,959,wav,25,61,train
280.wav,280,wav,25,61,train
1188.wav,1188,wav,25,61,train
50.jpg,1188,thr,25,61,train
77.jpg,188,thr,25,61,train
77.jpg,1075,thr,25,61,train
77.jpg,168,thr,25,61,train
77.jpg,280,thr,25,61,train
77.jpg,959,thr,25,61,train
50.jpg,1188,rgb,25,61,train
77.jpg,188,rgb,25,61,train
77.jpg,1075,rgb,25,61,train
77.jpg,168,rgb,25,61,train
77.jpg,280,rgb,25,61,train
77.jpg,959,rgb,25,61,train
1015.wav,1015,wav,15,61,train
1069.wav,1069,wav,15,61,train
492.wav,492,wav,15,61,train
255.wav,255,wav,15,61,train
600.wav,600,wav,15,61,train
1152.wav,1152,wav,15,61,train
77.jpg,255,thr,15,61,train
77.jpg,492,thr,15,61,train
77.jpg,1069,thr,15,61,train
77.jpg,1015,thr,15,61,train
77.jpg,600,thr,15,61,train
77.jpg,1152,thr,15,61,train
77.jpg,255,rgb,15,61,train
77.jpg,492,rgb,15,61,train
77.jpg,1069,rgb,15,61,train
77.jpg,1015,rgb,15,61,train
77.jpg,600,rgb,15,61,train
77.jpg,1152,rgb,15,61,train
209.wav,209,wav,27,61,train
1052.wav,1052,wav,27,61,train
10.wav,10,wav,27,61,train
666.wav,666,wav,27,61,train
77.jpg,209,thr,27,61,train
77.jpg,1052,thr,27,61,train
77.jpg,10,thr,27,61,train
77.jpg,666,thr,27,61,train
77.jpg,209,rgb,27,61,train
77.jpg,1052,rgb,27,61,train
77.jpg,10,rgb,27,61,train
77.jpg,666,rgb,27,61,train
868.wav,868,wav,13,61,train
1042.wav,1042,wav,13,61,train
956.wav,956,wav,13,61,train
77.jpg,1042,thr,13,61,train
77.jpg,956,thr,13,61,train
77.jpg,868,thr,13,61,train
77.jpg,1042,rgb,13,61,train
77.jpg,956,rgb,13,61,train
77.jpg,868,rgb,13,61,train
874.wav,874,wav,14,61,train
753.wav,753,wav,14,61,train
763.wav,763,wav,14,61,train
284.wav,284,wav,14,61,train
64.wav,64,wav,14,61,train
425.wav,425,wav,14,61,train
77.jpg,763,thr,14,61,train
77.jpg,64,thr,14,61,train
72.jpg,425,thr,14,61,train
77.jpg,874,thr,14,61,train
77.jpg,284,thr,14,61,train
77.jpg,753,thr,14,61,train
77.jpg,763,rgb,14,61,train
77.jpg,64,rgb,14,61,train
72.jpg,425,rgb,14,61,train
77.jpg,874,rgb,14,61,train
77.jpg,284,rgb,14,61,train
77.jpg,753,rgb,14,61,train
238.wav,238,wav,12,61,train
1276.wav,1276,wav,12,61,train
931.wav,931,wav,12,61,train
1140.wav,1140,wav,12,61,train
777.wav,777,wav,12,61,train
77.jpg,777,thr,12,61,train
77.jpg,1276,thr,12,61,train
77.jpg,238,thr,12,61,train
77.jpg,1140,thr,12,61,train
77.jpg,931,thr,12,61,train
77.jpg,777,rgb,12,61,train
77.jpg,1276,rgb,12,61,train
77.jpg,238,rgb,12,61,train
77.jpg,1140,rgb,12,61,train
77.jpg,931,rgb,12,61,train
324.wav,324,wav,16,61,train
366.wav,366,wav,16,61,train
961.wav,961,wav,16,61,train
770.wav,770,wav,16,61,train
1142.wav,1142,wav,16,61,train
599.wav,599,wav,16,61,train
77.jpg,770,thr,16,61,train
77.jpg,324,thr,16,61,train
77.jpg,599,thr,16,61,train
77.jpg,1142,thr,16,61,train
72.jpg,366,thr,16,61,train
77.jpg,961,thr,16,61,train
77.jpg,770,rgb,16,61,train
77.jpg,324,rgb,16,61,train
77.jpg,599,rgb,16,61,train
77.jpg,1142,rgb,16,61,train
72.jpg,366,rgb,16,61,train
77.jpg,961,rgb,16,61,train
126.wav,126,wav,18,128,test
74.wav,74,wav,18,128,test
