,utterance,session_id,person_id,new_ids,rgb,wav,thr
70,956.0,13,61,61,77.jpg,956.wav,77.jpg
71,874.0,14,61,61,77.jpg,874.wav,77.jpg
72,753.0,14,61,61,77.jpg,753.wav,77.jpg
73,763.0,14,61,61,77.jpg,763.wav,77.jpg
74,284.0,14,61,61,77.jpg,284.wav,77.jpg
75,64.0,14,61,61,77.jpg,64.wav,77.jpg
76,425.0,14,61,61,72.jpg,425.wav,72.jpg
77,238.0,12,61,61,77.jpg,238.wav,77.jpg
78,1276.0,12,61,61,77.jpg,1276.wav,77.jpg
79,931.0,12,61,61,77.jpg,931.wav,77.jpg
80,1140.0,12,61,61,77.jpg,1140.wav,77.jpg
81,777.0,12,61,61,77.jpg,777.wav,77.jpg
82,324.0,16,61,61,77.jpg,324.wav,77.jpg
83,366.0,16,61,61,72.jpg,366.wav,72.jpg
84,961.0,16,61,61,77.jpg,961.wav,77.jpg
85,770.0,16,61,61,77.jpg,770.wav,77.jpg
86,1142.0,16,61,61,77.jpg,1142.wav,77.jpg
87,599.0,16,61,61,77.jpg,599.wav,77.jpg
88,29.0,18,37,37,77.jpg,29.wav,77.jpg
89,541.0,18,37,37,77.jpg,541.wav,77.jpg
90,296.0,18,37,37,77.jpg,296.wav,77.jpg
91,227.0,18,37,37,77.jpg,227.wav,77.jpg
92,1157.0,18,37,37,77.jpg,1157.wav,77.jpg
93,208.0,18,37,37,77.jpg,208.wav,77.jpg
94,563.0,18,37,37,77.jpg,563.wav,77.jpg
95,484.0,24,37,37,77.jpg,484.wav,77.jpg
96,464.0,24,37,37,77.jpg,464.wav,77.jpg
97,499.0,24,37,37,77.jpg,499.wav,77.jpg
98,779.0,24,37,37,50.jpg,779.wav,50.jpg
99,71.0,24,37,37,77.jpg,71.wav,77.jpg
100,539.0,19,37,37,77.jpg,539.wav,77.jpg
101,675.0,19,37,37,77.jpg,675.wav,77.jpg
102,501.0,19,37,37,77.jpg,501.wav,77.jpg
103,649.0,19,37,37,77.jpg,649.wav,77.jpg
104,922.0,19,37,37,77.jpg,922.wav,77.jpg
105,420.0,19,37,37,77.jpg,420.wav,77.jpg
106,731.0,21,37,37,77.jpg,731.wav,77.jpg
107,762.0,21,37,37,77.jpg,762.wav,77.jpg
108,83.0,21,37,37,77.jpg,83.wav,77.jpg
109,1290.0,21,37,37,77.jpg,1290.wav,77.jpg
110,1054.0,21,37,37,77.jpg,1054.wav,77.jpg
111,106.0,23,37,37,77.jpg,106.wav,77.jpg
112,324.0,23,37,37,77.jpg,324.wav,77.jpg
113,286.0,23,37,37,77.jpg,286.wav,77.jpg
114,431.0,23,37,37,77.jpg,431.wav,77.jpg
115,1236.0,23,37,37,77.jpg,1236.wav,77.jpg
116,70.0,22,37,37,77.jpg,70.wav,77.jpg
117,166.0,22,37,37,77.jpg,166.wav,77.jpg
118,593.0,22,37,37,77.jpg,593.wav,77.jpg
119,246.0,22,37,37,70.jpg,246.wav,70.jpg
120,1143.0,22,37,37,50.jpg,1143.wav,50.jpg
121,450.0,22,37,37,77.jpg,450.wav,77.jpg
122,1180.0,22,37,37,70.jpg,1180.wav,70.jpg
123,802.0,28,37,37,77.jpg,802.wav,77.jpg
124,76.0,28,37,37,77.jpg,76.wav,77.jpg
125,974.0,28,37,37,77.jpg,974.wav,77.jpg
126,936.0,28,37,37,77.jpg,936.wav,77.jpg
127,523.0,28,37,37,72.jpg,523.wav,72.jpg
128,1245.0,28,37,37,77.jpg,1245.wav,77.jpg
129,688.0,26,37,37,77.jpg,688.wav,77.jpg
130,504.0,26,37,37,77.jpg,504.wav,77.jpg
131,1278.0,26,37,37,77.jpg,1278.wav,77.jpg
132,457.0,26,37,37,77.jpg,457.wav,77.jpg
133,1219.0,26,37,37,77.jpg,1219.wav,77.jpg
134,303.0,26,37,37,77.jpg,303.wav,77.jpg
135,846.0,17,37,37,77.jpg,846.wav,77.jpg
136,868.0,17,37,37,77.jpg,868.wav,77.jpg
137,196.0,17,37,37,77.jpg,196.wav,77.jpg
138,472.0,17,37,37,77.jpg,472.wav,77.jpg
139,804.0,17,37,37,72.jpg,804.wav,72.jpg
140,679.0,11,37,37,77.jpg,679.wav,77.jpg
141,1064.0,11,37,37,77.jpg,1064.wav,77.jpg
142,91.0,29,37,37,77.jpg,91.wav,77.jpg
143,830.0,29,37,37,77.jpg,830.wav,77.jpg
144,1034.0,29,37,37,77.jpg,1034.wav,77.jpg
145,669.0,29,37,37,77.jpg,669.wav,77.jpg
146,1107.0,25,37,37,72.jpg,1107.wav,72.jpg
147,998.0,25,37,37,77.jpg,998.wav,77.jpg
148,383.0,25,37,37,70.jpg,383.wav,70.jpg
149,268.0,25,37,37,50.jpg,268.wav,50.jpg
150,519.0,25,37,37,77.jpg,519.wav,77.jpg
151,1275.0,25,37,37,70.jpg,1275.wav,70.jpg
152,339.0,15,37,37,77.jpg,339.wav,77.jpg
153,51.0,15,37,37,77.jpg,51.wav,77.jpg
154,818.0,15,37,37,77.jpg,818.wav,77.jpg
155,153.0,15,37,37,77.jpg,153.wav,77.jpg
156,101.0,15,37,37,77.jpg,101.wav,77.jpg
157,524.0,27,37,37,77.jpg,524.wav,77.jpg
158,594.0,27,37,37,77.jpg,594.wav,77.jpg
159,326.0,27,37,37,77.jpg,326.wav,77.jpg
160,777.0,27,37,37,77.jpg,777.wav,77.jpg
161,673.0,13,37,37,77.jpg,673.wav,77.jpg
162,278.0,13,37,37,77.jpg,278.wav,77.jpg
163,30.0,13,37,37,77.jpg,30.wav,77.jpg
164,997.0,13,37,37,77.jpg,997.wav,77.jpg
165,597.0,13,37,37,77.jpg,597.wav,77.jpg
166,477.0,13,37,37,77.jpg,477.wav,77.jpg
167,141.0,14,37,37,77.jpg,141.wav,77.jpg
168,109.0,14,37,37,77.jpg,109.wav,77.jpg
169,654.0,14,37,37,77.jpg,654.wav,77.jpg
170,369.0,14,37,37,77.jpg,369.wav,77.jpg
171,941.0,14,37,37,77.jpg,941.wav,77.jpg
172,1184.0,12,37,37,77.jpg,1184.wav,77.jpg
173,453.0,12,37,37,77.jpg,453.wav,77.jpg
174,295.0,12,37,37,77.jpg,295.wav,77.jpg
175,195.0,12,37,37,77.jpg,195.wav,77.jpg
176,1089.0,16,37,37,77.jpg,1089.wav,77.jpg
177,1033.0,16,37,37,77.jpg,1033.wav,77.jpg
178,816.0,16,37,37,77.jpg,816.wav,77.jpg
179,698.0,16,37,37,77.jpg,698.wav,77.jpg
180,374.0,16,37,37,77.jpg,374.wav,77.jpg
181,81.0,16,37,37,77.jpg,81.wav,77.jpg
182,911.0,18,7,7,77.jpg,911.wav,77.jpg
183,874.0,18,7,7,77.jpg,874.wav,77.jpg
184,550.0,18,7,7,77.jpg,550.wav,77.jpg
185,763.0,18,7,7,77.jpg,763.wav,77.jpg
186,125.0,24,7,7,77.jpg,125.wav,77.jpg
187,278.0,24,7,7,77.jpg,278.wav,77.jpg
188,136.0,24,7,7,77.jpg,136.wav,77.jpg
189,801.0,24,7,7,77.jpg,801.wav,77.jpg
190,283.0,24,7,7,77.jpg,283.wav,77.jpg
191,1076.0,24,7,7,77.jpg,1076.wav,77.jpg
192,61.0,19,7,7,77.jpg,61.wav,77.jpg
193,426.0,19,7,7,77.jpg,426.wav,77.jpg
194,902.0,19,7,7,77.jpg,902.wav,77.jpg
195,1043.0,19,7,7,77.jpg,1043.wav,77.jpg
196,410.0,19,7,7,77.jpg,410.wav,77.jpg
197,582.0,21,7,7,77.jpg,582.wav,77.jpg
198,388.0,21,7,7,77.jpg,388.wav,77.jpg
199,851.0,21,7,7,77.jpg,851.wav,77.jpg
200,1262.0,21,7,7,77.jpg,1262.wav,77.jpg
201,276.0,21,7,7,77.jpg,276.wav,77.jpg
202,210.0,21,7,7,77.jpg,210.wav,77.jpg
203,928.0,21,7,7,77.jpg,928.wav,77.jpg
204,296.0,23,7,7,77.jpg,296.wav,77.jpg
205,583.0,23,7,7,77.jpg,583.wav,77.jpg
206,661.0,23,7,7,77.jpg,661.wav,77.jpg
207,546.0,23,7,7,77.jpg,546.wav,77.jpg
208,877.0,23,7,7,77.jpg,877.wav,77.jpg
209,1116.0,23,7,7,77.jpg,1116.wav,77.jpg
210,151.0,23,7,7,77.jpg,151.wav,77.jpg
211,249.0,22,7,7,77.jpg,249.wav,77.jpg
212,1214.0,22,7,7,77.jpg,1214.wav,77.jpg
213,889.0,22,7,7,77.jpg,889.wav,77.jpg
214,1063.0,22,7,7,77.jpg,1063.wav,77.jpg
215,725.0,22,7,7,77.jpg,725.wav,77.jpg
216,439.0,28,7,7,77.jpg,439.wav,77.jpg
217,967.0,28,7,7,77.jpg,967.wav,77.jpg
218,407.0,28,7,7,77.jpg,407.wav,77.jpg
219,510.0,28,7,7,77.jpg,510.wav,77.jpg
220,211.0,28,7,7,77.jpg,211.wav,77.jpg
221,982.0,26,7,7,77.jpg,982.wav,77.jpg
222,1232.0,26,7,7,77.jpg,1232.wav,77.jpg
223,548.0,26,7,7,77.jpg,548.wav,77.jpg
224,787.0,26,7,7,77.jpg,787.wav,77.jpg
225,159.0,26,7,7,77.jpg,159.wav,77.jpg
226,1005.0,17,7,7,77.jpg,1005.wav,77.jpg
227,332.0,17,7,7,77.jpg,332.wav,77.jpg
228,172.0,17,7,7,77.jpg,172.wav,77.jpg
229,40.0,17,7,7,77.jpg,40.wav,77.jpg
230,272.0,17,7,7,77.jpg,272.wav,77.jpg
231,1061.0,17,7,7,77.jpg,1061.wav,77.jpg
232,857.0,11,7,7,77.jpg,857.wav,77.jpg
233,630.0,11,7,7,77.jpg,630.wav,77.jpg
234,1079.0,11,7,7,50.jpg,1079.wav,50.jpg
235,886.0,11,7,7,77.jpg,886.wav,77.jpg
236,463.0,11,7,7,77.jpg,463.wav,77.jpg
237,599.0,11,7,7,77.jpg,599.wav,77.jpg
238,469.0,29,7,7,77.jpg,469.wav,77.jpg
239,291.0,29,7,7,77.jpg,291.wav,77.jpg
240,892.0,29,7,7,77.jpg,892.wav,77.jpg
241,947.0,29,7,7,77.jpg,947.wav,77.jpg
242,811.0,29,7,7,77.jpg,811.wav,77.jpg
243,416.0,29,7,7,77.jpg,416.wav,77.jpg
244,431.0,25,7,7,77.jpg,431.wav,77.jpg
245,1227.0,25,7,7,77.jpg,1227.wav,77.jpg
246,406.0,25,7,7,77.jpg,406.wav,77.jpg
247,349.0,25,7,7,77.jpg,349.wav,77.jpg
248,580.0,15,7,7,77.jpg,580.wav,77.jpg
249,456.0,15,7,7,77.jpg,456.wav,77.jpg
250,713.0,15,7,7,77.jpg,713.wav,77.jpg
251,647.0,15,7,7,77.jpg,647.wav,77.jpg
252,1144.0,15,7,7,77.jpg,1144.wav,77.jpg
253,937.0,15,7,7,77.jpg,937.wav,77.jpg
254,336.0,27,7,7,77.jpg,336.wav,77.jpg
255,422.0,27,7,7,77.jpg,422.wav,77.jpg
256,1015.0,27,7,7,77.jpg,1015.wav,77.jpg
257,1034.0,27,7,7,77.jpg,1034.wav,77.jpg
258,802.0,27,7,7,77.jpg,802.wav,77.jpg
259,372.0,27,7,7,77.jpg,372.wav,77.jpg
260,649.0,13,7,7,77.jpg,649.wav,77.jpg
261,306.0,13,7,7,77.jpg,306.wav,77.jpg
262,292.0,13,7,7,77.jpg,292.wav,77.jpg
263,855.0,13,7,7,77.jpg,855.wav,77.jpg
264,918.0,13,7,7,77.jpg,918.wav,77.jpg
265,520.0,13,7,7,77.jpg,520.wav,77.jpg
266,338.0,14,7,7,77.jpg,338.wav,77.jpg
267,517.0,14,7,7,77.jpg,517.wav,77.jpg
268,279.0,14,7,7,77.jpg,279.wav,77.jpg
269,716.0,14,7,7,72.jpg,716.wav,72.jpg
270,803.0,12,7,7,77.jpg,803.wav,77.jpg
271,1145.0,12,7,7,77.jpg,1145.wav,77.jpg
272,662.0,12,7,7,28.jpg,662.wav,28.jpg
273,842.0,12,7,7,77.jpg,842.wav,77.jpg
274,734.0,12,7,7,77.jpg,734.wav,77.jpg
275,1032.0,12,7,7,77.jpg,1032.wav,77.jpg
276,1082.0,16,7,7,77.jpg,1082.wav,77.jpg
277,241.0,16,7,7,77.jpg,241.wav,77.jpg
278,7.0,16,7,7,77.jpg,7.wav,77.jpg
279,152.0,16,7,7,77.jpg,152.wav,77.jpg
280,532.0,16,7,7,77.jpg,532.wav,77.jpg
281,813.0,18,2,2,77.jpg,813.wav,77.jpg
282,539.0,18,2,2,77.jpg,539.wav,77.jpg
283,1022.0,18,2,2,77.jpg,1022.wav,77.jpg
284,499.0,18,2,2,77.jpg,499.wav,77.jpg
285,224.0,18,2,2,77.jpg,224.wav,77.jpg
286,882.0,18,2,2,77.jpg,882.wav,77.jpg
287,289.0,24,2,2,50.jpg,289.wav,50.jpg
288,355.0,24,2,2,77.jpg,355.wav,77.jpg
289,900.0,24,2,2,77.jpg,900.wav,77.jpg
290,671.0,24,2,2,77.jpg,671.wav,77.jpg
291,11.0,24,2,2,77.jpg,11.wav,77.jpg
292,856.0,24,2,2,77.jpg,856.wav,77.jpg
293,300.0,24,2,2,77.jpg,300.wav,77.jpg
294,1016.0,19,2,2,50.jpg,1016.wav,50.jpg
295,524.0,19,2,2,77.jpg,524.wav,77.jpg
296,109.0,19,2,2,77.jpg,109.wav,77.jpg
297,430.0,19,2,2,77.jpg,430.wav,77.jpg
298,186.0,19,2,2,77.jpg,186.wav,77.jpg
299,75.0,19,2,2,77.jpg,75.wav,77.jpg
300,707.0,21,2,2,77.jpg,707.wav,77.jpg
301,1237.0,21,2,2,77.jpg,1237.wav,77.jpg
302,411.0,21,2,2,77.jpg,411.wav,77.jpg
303,39.0,21,2,2,77.jpg,39.wav,77.jpg
304,1273.0,21,2,2,77.jpg,1273.wav,77.jpg
305,847.0,21,2,2,77.jpg,847.wav,77.jpg
306,496.0,22,2,2,77.jpg,496.wav,77.jpg
307,59.0,22,2,2,77.jpg,59.wav,77.jpg
308,1281.0,22,2,2,77.jpg,1281.wav,77.jpg
309,992.0,22,2,2,77.jpg,992.wav,77.jpg
310,907.0,22,2,2,77.jpg,907.wav,77.jpg
311,73.0,22,2,2,77.jpg,73.wav,77.jpg
312,17.0,28,2,2,77.jpg,17.wav,77.jpg
313,1277.0,28,2,2,77.jpg,1277.wav,77.jpg
314,1197.0,28,2,2,77.jpg,1197.wav,77.jpg
315,1278.0,28,2,2,77.jpg,1278.wav,77.jpg
316,98.0,28,2,2,50.jpg,98.wav,50.jpg
317,483.0,28,2,2,77.jpg,483.wav,77.jpg
318,622.0,28,2,2,77.jpg,622.wav,77.jpg
319,536.0,26,2,2,77.jpg,536.wav,77.jpg
320,705.0,26,2,2,77.jpg,705.wav,77.jpg
321,569.0,26,2,2,77.jpg,569.wav,77.jpg
322,83.0,26,2,2,77.jpg,83.wav,77.jpg
323,1041.0,26,2,2,77.jpg,1041.wav,77.jpg
324,394.0,26,2,2,77.jpg,394.wav,77.jpg
325,772.0,17,2,2,77.jpg,772.wav,77.jpg
326,1138.0,17,2,2,77.jpg,1138.wav,77.jpg
327,558.0,17,2,2,77.jpg,558.wav,77.jpg
328,400.0,17,2,2,77.jpg,400.wav,77.jpg
329,821.0,17,2,2,77.jpg,821.wav,77.jpg
330,1049.0,17,2,2,77.jpg,1049.wav,77.jpg
331,38.0,11,2,2,77.jpg,38.wav,77.jpg
332,397.0,11,2,2,77.jpg,397.wav,77.jpg
333,305.0,11,2,2,77.jpg,305.wav,77.jpg
334,577.0,11,2,2,77.jpg,577.wav,77.jpg
335,373.0,11,2,2,77.jpg,373.wav,77.jpg
336,1105.0,11,2,2,77.jpg,1105.wav,77.jpg
337,621.0,29,2,2,77.jpg,621.wav,77.jpg
338,402.0,29,2,2,77.jpg,402.wav,77.jpg
339,563.0,29,2,2,77.jpg,563.wav,77.jpg
340,941.0,29,2,2,77.jpg,941.wav,77.jpg
341,1017.0,25,2,2,77.jpg,1017.wav,77.jpg
342,1023.0,25,2,2,77.jpg,1023.wav,77.jpg
343,776.0,25,2,2,77.jpg,776.wav,77.jpg
344,1046.0,25,2,2,77.jpg,1046.wav,77.jpg
345,1019.0,25,2,2,72.jpg,1019.wav,72.jpg
346,500.0,15,2,2,77.jpg,500.wav,77.jpg
347,1161.0,15,2,2,77.jpg,1161.wav,77.jpg
348,606.0,15,2,2,77.jpg,606.wav,77.jpg
349,138.0,15,2,2,77.jpg,138.wav,77.jpg
350,1157.0,15,2,2,77.jpg,1157.wav,77.jpg
351,733.0,15,2,2,77.jpg,733.wav,77.jpg
352,374.0,15,2,2,77.jpg,374.wav,77.jpg
353,509.0,15,2,2,77.jpg,509.wav,77.jpg
354,1052.0,27,2,2,77.jpg,1052.wav,77.jpg
355,130.0,27,2,2,77.jpg,130.wav,77.jpg
356,371.0,27,2,2,77.jpg,371.wav,77.jpg
357,348.0,27,2,2,77.jpg,348.wav,77.jpg
358,1274.0,27,2,2,77.jpg,1274.wav,77.jpg
359,990.0,13,2,2,77.jpg,990.wav,77.jpg
360,849.0,13,2,2,77.jpg,849.wav,77.jpg
361,339.0,13,2,2,77.jpg,339.wav,77.jpg
362,988.0,13,2,2,77.jpg,988.wav,77.jpg
363,859.0,13,2,2,77.jpg,859.wav,77.jpg
364,222.0,13,2,2,77.jpg,222.wav,77.jpg
365,229.0,14,2,2,77.jpg,229.wav,77.jpg
366,668.0,14,2,2,77.jpg,668.wav,77.jpg
367,1205.0,14,2,2,77.jpg,1205.wav,77.jpg
368,415.0,12,2,2,77.jpg,415.wav,77.jpg
369,839.0,12,2,2,77.jpg,839.wav,77.jpg
370,340.0,12,2,2,77.jpg,340.wav,77.jpg
371,660.0,12,2,2,77.jpg,660.wav,77.jpg
372,567.0,12,2,2,77.jpg,567.wav,77.jpg
373,977.0,16,2,2,77.jpg,977.wav,77.jpg
374,945.0,16,2,2,77.jpg,945.wav,77.jpg
375,45.0,16,2,2,77.jpg,45.wav,77.jpg
376,446.0,16,2,2,77.jpg,446.wav,77.jpg
377,160.0,16,2,2,77.jpg,160.wav,77.jpg
378,127.0,18,86,86,77.jpg,127.wav,77.jpg
379,91.0,18,86,86,77.jpg,91.wav,77.jpg
380,1060.0,18,86,86,77.jpg,1060.wav,77.jpg
381,1154.0,18,86,86,77.jpg,1154.wav,77.jpg
382,11.0,18,86,86,77.jpg,11.wav,77.jpg
383,520.0,18,86,86,77.jpg,520.wav,77.jpg
384,573.0,24,86,86,77.jpg,573.wav,77.jpg
385,437.0,24,86,86,77.jpg,437.wav,77.jpg
386,1007.0,24,86,86,77.jpg,1007.wav,77.jpg
387,279.0,24,86,86,77.jpg,279.wav,77.jpg
388,756.0,24,86,86,77.jpg,756.wav,77.jpg
389,256.0,24,86,86,77.jpg,256.wav,77.jpg
390,773.0,19,86,86,77.jpg,773.wav,77.jpg
391,840.0,19,86,86,77.jpg,840.wav,77.jpg
392,213.0,19,86,86,77.jpg,213.wav,77.jpg
393,807.0,19,86,86,77.jpg,807.wav,77.jpg
394,1224.0,19,86,86,77.jpg,1224.wav,77.jpg
395,934.0,19,86,86,77.jpg,934.wav,77.jpg
396,349.0,19,86,86,77.jpg,349.wav,77.jpg
397,1181.0,21,86,86,77.jpg,1181.wav,77.jpg
398,1277.0,21,86,86,77.jpg,1277.wav,77.jpg
399,1212.0,21,86,86,77.jpg,1212.wav,77.jpg
400,1278.0,21,86,86,77.jpg,1278.wav,77.jpg
401,373.0,21,86,86,77.jpg,373.wav,77.jpg
402,454.0,21,86,86,77.jpg,454.wav,77.jpg
403,1016.0,23,86,86,72.jpg,1016.wav,72.jpg
404,1106.0,23,86,86,77.jpg,1106.wav,77.jpg
405,1292.0,23,86,86,77.jpg,1292.wav,77.jpg
406,1289.0,23,86,86,77.jpg,1289.wav,77.jpg
407,1268.0,22,86,86,77.jpg,1268.wav,77.jpg
408,792.0,22,86,86,77.jpg,792.wav,77.jpg
409,602.0,22,86,86,77.jpg,602.wav,77.jpg
410,1144.0,22,86,86,77.jpg,1144.wav,77.jpg
411,941.0,22,86,86,77.jpg,941.wav,77.jpg
412,545.0,28,86,86,77.jpg,545.wav,77.jpg
413,893.0,28,86,86,77.jpg,893.wav,77.jpg
414,110.0,28,86,86,77.jpg,110.wav,77.jpg
415,1139.0,28,86,86,77.jpg,1139.wav,77.jpg
416,688.0,26,86,86,77.jpg,688.wav,77.jpg
417,992.0,26,86,86,77.jpg,992.wav,77.jpg
418,116.0,26,86,86,77.jpg,116.wav,77.jpg
419,156.0,26,86,86,77.jpg,156.wav,77.jpg
420,410.0,26,86,86,77.jpg,410.wav,77.jpg
421,415.0,17,86,86,77.jpg,415.wav,77.jpg
422,72.0,17,86,86,77.jpg,72.wav,77.jpg
423,1035.0,17,86,86,77.jpg,1035.wav,77.jpg
424,386.0,17,86,86,77.jpg,386.wav,77.jpg
425,1133.0,17,86,86,77.jpg,1133.wav,77.jpg
426,470.0,17,86,86,77.jpg,470.wav,77.jpg
427,633.0,11,86,86,77.jpg,633.wav,77.jpg
428,263.0,11,86,86,77.jpg,263.wav,77.jpg
429,1030.0,11,86,86,77.jpg,1030.wav,77.jpg
430,1296.0,11,86,86,77.jpg,1296.wav,77.jpg
431,730.0,11,86,86,77.jpg,730.wav,77.jpg
432,678.0,29,86,86,77.jpg,678.wav,77.jpg
433,432.0,29,86,86,77.jpg,432.wav,77.jpg
434,728.0,29,86,86,77.jpg,728.wav,77.jpg
435,489.0,29,86,86,77.jpg,489.wav,77.jpg
436,58.0,29,86,86,77.jpg,58.wav,77.jpg
437,876.0,25,86,86,77.jpg,876.wav,77.jpg
438,53.0,25,86,86,77.jpg,53.wav,77.jpg
439,474.0,25,86,86,77.jpg,474.wav,77.jpg
440,326.0,25,86,86,77.jpg,326.wav,77.jpg
441,526.0,25,86,86,77.jpg,526.wav,77.jpg
442,1173.0,15,86,86,77.jpg,1173.wav,77.jpg
443,555.0,15,86,86,77.jpg,555.wav,77.jpg
444,208.0,15,86,86,77.jpg,208.wav,77.jpg
445,659.0,15,86,86,77.jpg,659.wav,77.jpg
446,599.0,15,86,86,77.jpg,599.wav,77.jpg
447,1195.0,15,86,86,77.jpg,1195.wav,77.jpg
448,230.0,27,86,86,77.jpg,230.wav,77.jpg
449,657.0,27,86,86,77.jpg,657.wav,77.jpg
450,1298.0,27,86,86,77.jpg,1298.wav,77.jpg
451,661.0,27,86,86,77.jpg,661.wav,77.jpg
452,889.0,27,86,86,77.jpg,889.wav,77.jpg
453,396.0,27,86,86,70.jpg,396.wav,70.jpg
454,939.0,27,86,86,77.jpg,939.wav,77.jpg
455,1230.0,13,86,86,77.jpg,1230.wav,77.jpg
456,60.0,13,86,86,77.jpg,60.wav,77.jpg
457,1137.0,13,86,86,72.jpg,1137.wav,72.jpg
458,50.0,13,86,86,77.jpg,50.wav,77.jpg
459,771.0,13,86,86,77.jpg,771.wav,77.jpg
460,557.0,14,86,86,77.jpg,557.wav,77.jpg
461,517.0,14,86,86,77.jpg,517.wav,77.jpg
462,125.0,14,86,86,77.jpg,125.wav,77.jpg
463,747.0,14,86,86,77.jpg,747.wav,77.jpg
464,742.0,12,86,86,77.jpg,742.wav,77.jpg
465,689.0,12,86,86,77.jpg,689.wav,77.jpg
466,1201.0,12,86,86,77.jpg,1201.wav,77.jpg
467,626.0,12,86,86,77.jpg,626.wav,77.jpg
468,45.0,12,86,86,77.jpg,45.wav,77.jpg
469,1105.0,12,86,86,77.jpg,1105.wav,77.jpg
470,1230.0,16,86,86,77.jpg,1230.wav,77.jpg
471,134.0,16,86,86,50.jpg,134.wav,50.jpg
472,443.0,16,86,86,77.jpg,443.wav,77.jpg
